candidate_id	first_frame_rank	frame_items	external_upstream_name	E1	E2_REP	E2_RULE	E3	E4	overall	stop_gate	failure_code	protocol_issue_code	evidence_refs	canonical_source_location	external_target_identifier	primary_snapshot	authoritative_source_inventory_ref	enumerator_inventory_ref	completeness_class	tie_key
C001	1	1	flatzebra	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C001-UR-01;EV-C001-E1-01;EV-C001-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C002	2	2	PLIB	PASS	FAIL	NOT_REACHED	NOT_REACHED	NOT_REACHED	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C002-UR-01;EV-C002-E1-01;EV-C002-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C003	3	3	pygame	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C003-UR-01;EV-C003-E1-01;EV-C003-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C021	21	21	Afternoon Stalker	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C021-UR-01;EV-C021-E1-01;EV-C021-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C027	27	27	Amph	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C027-UR-01;EV-C027-E1-01;EV-C027-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C039	39	39	Batrachians	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C039-UR-01;EV-C039-E1-01;EV-C039-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C040	40	40	Belooted	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C040-UR-01;EV-C040-E1-01;EV-C040-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C041	41	41	Beret	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C041-UR-01;EV-C041-E1-01;EV-C041-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C055	55	55	BurgerSpace	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C055-UR-01;EV-C055-E1-01;EV-C055-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C070	70	70	circuit	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C070-UR-01;EV-C070-E1-01;EV-C070-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
